Year,FIPS,All Ages in Poverty Percent,Median Household Income in Dollars
2010,28021,34.9,"$22,750 "
2009,28021,39.2,"$23,923 "
2008,28021,35.1,"$27,876 "
2007,28021,35.2,"$26,621 "
2006,28021,30.3,"$25,163 "
2005,28021,34.7,"$23,655 "
2004,28021,29.2,"$22,831 "
2003,28021,25.6,"$22,892 "
2002,28021,28.5,"$22,243 "
2001,28021,29.9,"$22,062 "
2000,28021,27.3,"$23,314 "
1999,28021,25.8,"$22,612 "
1998,28021,26.9,"$22,369 "
1997,28021,28.6,"$20,137 "
1996,28021,NA,NA
1995,28021,34.1,"$18,459 "
1993,28021,40.4,"$15,122 "
1989,28021,44.3,"$14,950 "
2017,28023,20.8,"$38,840 "
2016,28023,20.9,"$37,814 "
2015,28023,21.8,"$38,362 "
2014,28023,22.4,"$34,910 "
2013,28023,21.8,"$34,141 "
2012,28023,22.4,"$33,749 "
2011,28023,23.9,"$32,875 "
2010,28023,25.4,"$31,999 "
2009,28023,22.2,"$32,093 "
2008,28023,21.1,"$33,264 "
2007,28023,20.3,"$30,833 "
2006,28023,23.5,"$26,532 "
2005,28023,20,"$31,184 "
2004,28023,19.7,"$28,099 "
2003,28023,18.9,"$27,340 "
2002,28023,18.1,"$27,260 "
2001,28023,17.7,"$27,161 "
2000,28023,16.9,"$27,759 "
1999,28023,19,"$26,763 "
1998,28023,15.8,"$27,030 "
1997,28023,14.8,"$26,236 "
1996,28023,NA,NA
1995,28023,18.3,"$23,669 "
1993,28023,21.1,"$21,541 "
1989,28023,19.8,"$18,999 "
2017,28025,25.4,"$36,044 "
2016,28025,23.9,"$34,408 "
2015,28025,27.6,"$32,360 "
2014,28025,28.4,"$33,939 "
2013,28025,31,"$30,935 "
2012,28025,26.6,"$30,057 "
2011,28025,27,"$30,243 "
2010,28025,28.4,"$30,777 "
2009,28025,26,"$30,122 "
2008,28025,25.2,"$33,205 "
2007,28025,25.1,"$31,981 "
2006,28025,24.2,"$30,351 "
2005,28025,25.2,"$28,191 "
2004,28025,22.4,"$28,315 "
2003,28025,20.7,"$27,912 "
2002,28025,21.1,"$27,308 "
2001,28025,21.2,"$27,387 "
2000,28025,19,"$28,330 "
1999,28025,20.2,"$27,233 "
1998,28025,20.6,"$27,126 "
1997,28025,21.2,"$25,464 "
1996,28025,NA,NA
1995,28025,23.6,"$23,877 "
1993,28025,26.2,"$21,707 "
1989,28025,22.8,"$19,937 "
2017,28027,34.8,"$28,921 "
2016,28027,41.2,"$26,815 "
2015,28027,35,"$25,948 "
2014,28027,35,"$28,647 "
2013,28027,39.5,"$27,500 "
2012,28027,36.5,"$25,662 "
2011,28027,37.3,"$27,349 "
