FIPS,Year,CancerDeaths,Population
1133,1996,23,22436
1133,1997,40,22668
1133,1998,31,22821
2020,1989,136,223488
2020,1990,140,224251
2020,1991,162,232951
2020,1992,176,243296
2020,1993,164,247526
2020,1994,173,249431
2020,1995,187,248752
2020,1996,205,247012
2020,1997,204,248607
2020,1998,192,252739
2050,1992,10,13964
2050,1994,10,14626
2050,1995,11,14969
2050,1996,12,15099
2050,1997,10,15267
2090,1989,45,76536
2090,1990,41,76906
2090,1991,42,79695
2090,1992,43,81789
2090,1993,57,82115
2090,1994,52,82572
2090,1995,52,80938
2090,1996,53,81823
2090,1997,50,81275
2090,1998,47,82026
2110,1989,13,25846
2110,1990,17,26314
2110,1991,14,27419
2110,1992,22,27905
2110,1993,19,28277
2110,1994,25,28355
2110,1995,20,28857
2110,1996,27,29631
2110,1997,25,30003
2110,1998,24,29865
2122,1989,32,39574
2122,1990,42,40248
2122,1991,30,42112
2122,1992,27,42887
2122,1993,37,43470
2122,1994,27,44830
2122,1995,30,45850
2122,1996,59,46926
2122,1997,50,47503
2122,1998,50,48032
2130,1989,12,13276
2130,1990,16,13498
2130,1991,14,13773
2130,1992,10,14176
2130,1993,14,14233
2130,1994,13,14329
2130,1995,11,14365
2130,1996,10,14575
2130,1997,13,14329
2130,1998,17,13931
2150,1990,12,13174
2150,1993,10,14035
2150,1994,11,14452
2150,1996,10,14256
2170,1989,24,37952
2170,1990,35,39112
2170,1991,34,41707
2170,1992,28,44072
2170,1993,44,45651
2170,1994,35,47204
2170,1995,28,49175
2170,1996,48,51052
2170,1997,49,52835
2170,1998,46,54620
2180,1992,10,8492
2180,1998,14,9106
2185,1994,11,6760
2188,1998,11,7003
2220,1995,10,8716
2261,1991,10,9936
2261,1992,10,9897
2261,1995,12,10102
2261,1998,10,9942
2270,1997,10,6746
2290,1998,10,8458
2900,1988,360,535625
4001,1988,30,58427
4001,1989,23,59492
4001,1990,31,59968
4001,1991,29,60996
4001,1992,36,61375
4001,1993,36,62848
4001,1994,32,64306
4001,1995,38,66404
4001,1996,42,67564
4001,1997,29,68601
4001,1998,40,67859
4003,1988,109,92223
4003,1989,118,93341
4003,1990,127,93280
4003,1991,117,94215
4003,1992,137,96497
4003,1993,134,99158
4003,1994,100,103831
4003,1995,141,106728
4003,1996,137,106769
4003,1997,132,108407
4003,1998,171,109270
4005,1988,42,91824
4005,1989,51,93619
4005,1990,54,94702
4005,1991,65,97569
4005,1992,64,100294
4005,1993,67,103247
4005,1994,56,106214
4005,1995,72,108450
4005,1996,60,110188
4005,1997,71,111843
4005,1998,88,112092
4007,1988,53,36634
4007,1989,71,36932
4007,1990,48,37481
4007,1991,75,38279
4007,1992,67,39503
4007,1993,73,40763
4007,1994,68,42028
4007,1995,72,43523
4007,1996,71,44679
4007,1997,73,45707
4007,1998,71,46460
4009,1988,26,24310
4009,1989,18,24853
4009,1990,31,25096
4009,1991,28,25825
4009,1992,27,26431
4009,1993,24,27402
4009,1994,26,28029
4009,1995,39,28881
4009,1996,32,29804
4009,1997,20,30485
4009,1998,31,31040
4011,1988,8,7796
4011,1991,13,7986
4011,1993,14,8467
4011,1995,15,8637
4011,1996,10,8739
4012,1994,30,14591
4012,1995,28,15183
4012,1996,29,16064
4012,1997,34,16708
4012,1998,34,17170
4013,1988,2302,1953998
4013,1989,2293,2001906
4013,1990,2325,2017192
4013,1991,2468,2081996
4013,1992,2457,2149218
4013,1993,2544,2229707
4013,1994,2618,2339072
4013,1995,2571,2454348
4013,1996,2669,2553488
4013,1997,2628,2649432
4013,1998,2689,2748207
4015,1988,176,77575
4015,1989,202,81787
4015,1990,203,87685
4015,1991,233,95616
4015,1992,226,101369
4015,1993,250,107899
4015,1994,244,114512
4015,1995,289,121078
4015,1996,263,126414
4015,1997,275,130115
4015,1998,281,133552
4017,1988,50,72843
4017,1989,70,74686
4017,1990,55,75450
4017,1991,64,76327
4017,1992,57,77927
4017,1993,72,81120
4017,1994,79,82800
4017,1995,63,85571
4017,1996,74,87692
4017,1997,81,89824
4017,1998,81,91610
4019,1988,775,623967
4019,1989,770,629865
4019,1990,797,631154
4019,1991,813,641007
4019,1992,828,657357
4019,1993,877,676671
4019,1994,943,700136
4019,1995,815,720808
4019,1996,869,733949
4019,1997,908,746909
4019,1998,834,759698
4021,1988,139,109106
4021,1989,157,110370
4021,1990,143,110804
4021,1991,158,114747
4021,1992,183,119401
4021,1993,152,124603
4021,1994,179,130452
4021,1995,213,137299
4021,1996,176,143402
4021,1997,191,148872
4021,1998,192,155054
4023,1988,28,26029
4023,1989,20,27843
4023,1990,28,28756
4023,1991,25,29891
4023,1992,22,31034
4023,1993,27,32131
4023,1994,20,33127
4023,1995,26,33726
4023,1996,27,33875
4023,1997,38,34645
4023,1998,27,35321
4025,1988,189,91555
4025,1989,180,95060
4025,1990,201,98555
4025,1991,209,102891
4025,1992,217,107561
4025,1993,220,113544
4025,1994,215,119737
4025,1995,240,126985
4025,1996,243,132623
4025,1997,237,137389
4025,1998,242,142464
4027,1988,145,105520
4027,1989,146,111867
4027,1990,161,114942
4027,1991,146,119940
4027,1992,140,126659
4027,1993,164,132646
4027,1994,126,121460
4027,1995,126,124852
4027,1996,136,129595
4027,1997,129,135361
4027,1998,117,139798
5001,1988,26,20180
5001,1989,39,20108
5001,1990,28,19950
5001,1991,34,19864
5001,1992,46,19776
5001,1993,39,19632
5001,1994,32,19533
5001,1995,42,19424
5001,1996,42,19479
5001,1997,34,19270
5001,1998,33,19235
5003,1988,32,23370
5003,1989,34,22990
5003,1990,42,22751
5003,1991,37,22856
5003,1992,24,22958
5003,1993,40,23030
5003,1994,41,22954
5003,1995,36,22835
5003,1996,30,22825
5003,1997,49,22772
5003,1998,27,22765
5005,1988,61,27175
5005,1989,68,27071
5005,1990,70,27252
5005,1991,63,27798
5005,1992,76,28578
5005,1993,75,29643
5005,1994,93,30776
5005,1995,79,31811
5005,1996,79,32391
5005,1997,76,32672
5005,1998,76,32878
5007,1988,127,86812
5007,1989,122,88419
5007,1990,142,90761
5007,1991,133,95341
5007,1992,150,99976
5007,1993,170,105785
5007,1994,140,111225
5007,1995,158,117675
5007,1996,159,123678
5007,1997,161,128680
5007,1998,164,133189
5009,1988,38,25956
5009,1989,39,26059
5009,1990,41,26093
5009,1991,42,26511
5009,1992,37,27200
5009,1993,43,28044
5009,1994,56,28934
5009,1995,46,29568
5009,1996,59,30159
5009,1997,55,30451
5009,1998,41,30659
5011,1988,18,11037
5011,1989,20,10938
5011,1990,19,10767
5011,1991,14,10787
5011,1992,20,10821
5011,1993,16,11002
5011,1994,24,11019
5011,1995,25,11118
5011,1996,14,11180
5011,1997,13,11218
5011,1998,17,11269
5013,1988,13,5503
5013,1991,19,5353
5013,1993,10,5359
5013,1998,10,5302
5015,1988,25,16892
5015,1989,26,16900
5015,1990,26,17210
5015,1991,32,17876
5015,1992,41,18474
5015,1993,24,19564
5015,1994,33,20832
5015,1995,27,21644
5015,1996,42,22424
5015,1997,37,22696
5015,1998,35,23025
5017,1988,22,15075
5017,1989,35,14743
5017,1990,30,14471
5017,1991,19,14428
5017,1992,13,14560
5017,1993,26,14455
5017,1994,27,14288
5017,1995,18,14061
5017,1996,28,13806
5017,1997,22,13755
5017,1998,21,13519
5019,1988,28,20318
5019,1989,30,19984
5019,1990,30,19761
5019,1991,21,19980
5019,1992,32,20271
5019,1993,29,20802
5019,1994,33,21363
5019,1995,28,21516
5019,1996,24,21687
5019,1997,23,22099
5019,1998,23,21749
5021,1988,36,16886
5021,1989,21,16581
5021,1990,36,16412
5021,1991,33,16340
5021,1992,36,16338
5021,1993,27,16234
5021,1994,25,16213
5021,1995,43,16144
5021,1996,30,16247
5021,1997,44,16154
5021,1998,37,16019
5023,1988,39,17389
5023,1989,31,17526
5023,1990,30,17787
5023,1991,46,18246
5023,1992,36,18575
5023,1993,33,19285
5023,1994,42,19670
5023,1995,34,20113
5023,1996,23,20616
5023,1997,38,20926
5023,1998,40,21247
5025,1988,4,7371
5025,1989,14,7321
5025,1990,13,7234
5025,1992,16,7313
5025,1996,17,7781
5025,1997,12,7846
5027,1988,40,24015
5027,1989,51,23852
5027,1990,44,23558
5027,1991,36,23743
5027,1992,37,23766
5027,1993,38,23703
5027,1994,34,23729
5027,1995,45,23861
5027,1996,34,23794
5027,1997,45,23885
5027,1998,36,23880
5029,1988,22,17925
5029,1989,30,17765
5029,1990,28,17785
5029,1991,25,17832
5029,1992,33,17882
5029,1993,36,17901
5029,1994,33,18091
5029,1995,23,18387
5029,1996,22,18426
5029,1997,31,18672
5029,1998,27,18588
5031,1988,80,63375
5031,1989,86,64347
5031,1990,68,65247
5031,1991,89,65995
5031,1992,98,67414
5031,1993,106,69178
5031,1994,95,70141
5031,1995,94,71651
5031,1996,91,73166
5031,1997,93,74487
5031,1998,83,75710
5033,1988,56,39211
5033,1989,48,39883
5033,1990,65,40409
5033,1991,73,41491
5033,1992,63,42242
5033,1993,65,43580
5033,1994,63,44616
5033,1995,64,46184
5033,1996,66,47168
5033,1997,65,47975
5033,1998,68,48865
5035,1988,71,47925
5035,1989,73,47946
