FIPS,Year,DiabDeaths,Population
5051,1997,12,76672
5051,1998,13,77666
5053,1983,1,12276
5053,1984,1,12350
5053,1986,1,12659
5053,1987,1,12778
5053,1988,2,13014
5055,1979,2,29570
5055,1980,4,29089
5055,1981,7,28877
5055,1982,7,29025
5055,1983,4,28969
5055,1984,1,29098
5055,1985,1,29279
5055,1987,3,29320
5055,1988,2,29269
5057,1979,4,21665
5057,1980,6,22061
5057,1981,2,21733
5057,1982,6,21618
5057,1983,4,21450
5057,1984,3,21391
5057,1985,3,21013
5057,1986,1,20572
5057,1987,5,20347
5057,1988,2,20068
5059,1980,1,25353
5059,1981,2,25111
5059,1982,1,24814
5059,1983,5,24998
5059,1984,3,25039
5059,1985,4,25091
5059,1986,1,25091
5059,1987,2,25093
5059,1988,2,24578
5061,1979,2,12440
5061,1980,1,12508
5061,1981,1,12454
5061,1982,1,12421
5061,1983,2,12544
5061,1984,2,12662
5061,1985,1,12604
5061,1986,3,12586
5061,1988,1,12474
5063,1979,2,27291
5063,1980,3,28449
5063,1982,1,29520
5063,1983,3,29736
5063,1984,2,29674
5063,1985,3,29380
5063,1986,2,29383
5063,1988,1,29122
5065,1980,1,9867
5065,1981,2,9832
5065,1982,1,9751
5065,1983,1,9872
5065,1987,2,9784
5067,1979,3,20773
5067,1980,4,20426
5067,1981,5,20077
5067,1982,4,19900
5067,1983,7,19724
5067,1984,2,19420
5067,1985,3,18858
5067,1986,5,18277
5067,1987,2,17925
5067,1988,4,17732
5069,1979,9,85418
5069,1980,6,86509
5069,1981,7,86166
5069,1982,9,85017
5069,1983,5,84267
5069,1984,5,83771
5069,1985,9,83286
5069,1986,6,82704
5069,1987,7,82654
5069,1988,9,82231
5069,1989,11,81568
5069,1990,12,80543
5069,1991,10,80598
5069,1992,10,80667
5069,1993,14,80286
5069,1997,15,79740
