FIPS,Year,SuicDeaths,Population
4015,1987,22,72963
4015,1988,22,77575
4015,1989,10,81787
4015,1990,28,87685
4015,1991,26,95616
4015,1992,31,101369
4015,1993,30,107899
4015,1994,39,114512
4015,1995,34,121078
4015,1996,19,126414
4015,1997,26,130115
4015,1998,23,133552
4017,1979,15,65297
4017,1980,11,66530
4017,1981,7,65613
4017,1982,7,65689
4017,1983,15,67634
4017,1984,10,67261
4017,1985,13,69210
4017,1986,13,70940
4017,1987,14,72134
4017,1988,8,72843
4017,1989,17,74686
4017,1990,13,75450
4017,1991,16,76327
4017,1992,19,77927
4017,1993,26,81120
4017,1994,22,82800
4017,1995,22,85571
4017,1996,14,87692
4017,1997,16,89824
4017,1998,20,91610
4019,1979,82,502236
4019,1980,80,510131
4019,1981,98,529244
4019,1982,89,542957
4019,1983,92,555785
4019,1984,99,564374
4019,1985,113,574396
4019,1986,105,591684
4019,1987,122,609240
4019,1988,133,623967
4019,1989,117,629865
4019,1990,108,631154
4019,1991,110,641007
4019,1992,111,657357
4019,1993,112,676671
4019,1994,141,700136
4019,1995,113,720808
4019,1996,109,733949
4019,1997,119,746909
4019,1998,141,759698
4021,1979,18,86783
4021,1980,20,88161
4021,1981,11,89946
4021,1982,21,93421
4021,1983,20,94261
4021,1984,11,96503
4021,1985,15,99120
4021,1986,28,103346
4021,1987,25,106441
4021,1988,22,109106
4021,1989,17,110370
4021,1990,27,110804
4021,1991,30,114747
4021,1992,21,119401
4021,1993,20,124603
4021,1994,24,130452
4021,1995,24,137299
4021,1996,24,143402
4021,1997,17,148872
4021,1998,35,155054
4023,1979,5,19098
4023,1982,1,21005
4023,1983,1,21091
4023,1984,3,22046
4023,1985,5,22744
4023,1986,1,23212
4023,1987,1,24749
4023,1988,3,26029
4025,1979,17,61916
4025,1980,15,63977
4025,1981,11,66321
4025,1982,19,69034
4025,1983,20,71329
4025,1984,16,73760
4025,1985,18,76432
4025,1986,19,82189
4025,1987,27,86456
4025,1988,18,91555
4025,1989,33,95060
4025,1990,25,98555
4025,1991,21,102891
4025,1992,26,107561
4025,1993,18,113544
4025,1994,34,119737
4025,1995,37,126985
4025,1996,29,132623
4025,1997,32,137389
4025,1998,33,142464
4027,1979,11,81052
4027,1980,12,87828
4027,1981,14,88827
4027,1982,18,90520
4027,1983,13,93245
4027,1984,18,95130
4027,1985,15,97178
4027,1986,15,99576
4027,1987,13,101574
4027,1988,16,105520
4027,1989,26,111867
4027,1990,10,114942
4027,1991,14,119940
4027,1992,16,126659
4027,1993,15,132646
4027,1994,15,121460
4027,1995,14,124852
4027,1996,15,129595
4027,1997,13,135361
4027,1998,16,139798
5001,1979,4,22752
5001,1980,2,22767
5001,1981,1,22724
5001,1982,3,22565
5001,1983,3,22252
5001,1984,3,21810
5001,1985,4,21395
5001,1986,2,20967
5001,1987,3,20534
5003,1979,1,25479
5003,1980,1,25179
5003,1981,1,25418
5003,1982,2,24823
5003,1983,2,24468
5003,1984,3,24523
5003,1985,3,24534
5003,1988,3,23370
5005,1979,3,25003
5005,1980,7,25133
5005,1981,7,25235
5005,1982,5,25361
5005,1983,4,25882
5005,1984,7,26416
5005,1985,6,26376
5005,1986,8,26714
5005,1987,4,27068
5005,1988,9,27175
5007,1979,10,72543
5007,1980,10,73995
5007,1981,9,74786
5007,1982,11,75468
5007,1983,10,76938
5007,1984,12,78827
5007,1985,13,80445
5007,1986,14,81983
5007,1987,9,84897
5007,1988,16,86812
5007,1992,10,99976
5007,1993,16,105785
5007,1995,13,117675
5007,1996,16,123678
5007,1998,10,133189
5009,1979,3,23682
5009,1980,2,24283
5009,1981,2,24400
5009,1982,1,24565
5009,1983,1,24968
5009,1984,1,25338
5009,1985,1,25464
5009,1986,2,25587
5009,1987,4,25736
5009,1988,2,25956
5011,1979,2,13020
5011,1982,3,12304
5011,1984,2,11986
5011,1985,2,11796
5011,1986,1,11524
5011,1988,1,11037
5013,1982,2,5642
5013,1983,3,5615
5013,1986,1,5543
5015,1979,3,14483
5015,1980,3,15009
5015,1981,2,15091
5015,1982,3,15140
5015,1983,3,15682
5015,1984,3,15919
5015,1986,1,16499
5015,1987,2,16709
5015,1988,3,16892
5017,1980,1,16682
5017,1981,2,16688
5017,1983,2,16662
5017,1984,1,16410
5017,1985,3,15977
5017,1986,2,15674
5019,1979,3,22287
5019,1982,4,21527
5019,1983,4,21622
5019,1984,2,21420
5019,1986,3,21045
5019,1987,3,20511
5019,1988,1,20318
