FIPS,Year,SubUseDisDeaths,Population
9005,2001,26,170518
9005,2002,22,172275
9005,2003,22,173504
9005,2004,36,174565
9005,2005,23,174837
9005,2006,30,175476
9005,2007,36,175583
9005,2008,45,175786
9007,1999,15,142781
9007,2000,24,144358
9007,2001,18,146059
9007,2002,19,148055
9007,2003,24,149531
9007,2004,34,149871
9007,2005,20,150443
9007,2006,29,151485
9007,2007,32,152050
9007,2008,37,152872
9009,1999,129,758012
9009,2000,123,761031
9009,2001,121,766164
9009,2002,162,770834
9009,2003,132,777013
9009,2004,138,779717
9009,2005,153,782397
9009,2006,150,785455
9009,2007,176,789307
9009,2008,156,792887
9011,1999,35,241496
9011,2000,43,242791
9011,2001,33,244707
9011,2002,42,247566
9011,2003,44,249142
9011,2004,59,250880
9011,2005,42,251728
9011,2006,49,252647
9011,2007,49,252344
9011,2008,49,254191
9013,1999,17,128573
9013,2000,17,129915
9013,2001,15,132191
9013,2002,13,135307
9013,2003,14,137919
9013,2004,17,139336
9013,2005,15,140211
9013,2006,16,141364
9013,2007,22,141945
9013,2008,20,143719
9015,1999,19,101978
9015,2000,17,102279
9015,2001,23,103065
9015,2002,18,104216
9015,2003,27,105762
9015,2004,17,107306
9015,2005,15,108604
9015,2006,20,109740
9015,2007,13,110267
9015,2008,27,110920
10001,1999,11,119342
10001,2000,15,120316
10001,2001,20,122664
10001,2002,24,125062
10001,2003,21,127759
10001,2004,12,132220
10001,2005,16,137068
10001,2006,24,141669
10001,2007,24,145536
10001,2008,19,149187
10003,1999,81,469552
10003,2000,76,473266
10003,2001,88,478379
10003,2002,108,481900
10003,2003,101,486024
10003,2004,102,489766
10003,2005,83,493758
10003,2006,88,497134
10003,2007,95,500263
10003,2008,127,503326
10005,1999,12,141707
10005,2000,19,144707
10005,2001,27,148036
10005,2002,25,151275
10005,2003,24,155256
10005,2004,21,158685
10005,2005,23,162920
10005,2006,24,167417
10005,2007,32,171692
10005,2008,48,175819
11001,1999,126,536621
11001,2000,188,538080
11001,2001,212,540603
11001,2002,182,539320
11001,2003,213,535031
11001,2004,216,534469
11001,2005,170,534076
11001,2006,206,538314
11001,2007,146,542424
