FIPS,Year,InfectDeaths,Population
8043,2001,11,43427
8043,2002,11,43790
8043,2003,11,43683
8043,2004,15,43293
8043,2008,13,43604
8059,1999,56,501326
8059,2000,58,504582
8059,2001,61,506914
8059,2002,49,505471
8059,2003,71,500334
8059,2004,52,495421
8059,2005,59,493575
8059,2006,59,494362
8059,2007,48,496965
8059,2008,71,500449
8069,1999,21,235865
8069,2000,27,240267
8069,2001,19,248945
8069,2002,17,253480
8069,2003,23,256142
8069,2004,11,258816
8069,2005,20,261922
8069,2006,21,266680
8069,2007,24,271647
8069,2008,22,276688
8077,1999,12,106557
8077,2000,13,107797
8077,2001,16,110607
8077,2002,19,113288
8077,2003,14,115582
8077,2004,13,118060
8077,2005,16,120365
8077,2006,13,124586
8077,2008,22,132941
8101,1999,31,130150
8101,2000,26,131322
8101,2001,28,133651
8101,2002,25,136082
8101,2003,37,137241
8101,2004,26,137905
8101,2005,32,138871
8101,2006,27,140815
8101,2007,26,143632
8101,2008,45,145185
8123,1999,25,166979
8123,2000,20,173463
8123,2001,24,184525
8123,2002,17,194298
8123,2003,23,200750
8123,2004,29,206968
8123,2005,21,214300
8123,2006,19,221761
8123,2007,26,228414
8123,2008,25,234060
9001,1999,142,820308
9001,2000,119,825113
9001,2001,132,830449
9001,2002,110,833313
9001,2003,140,836042
9001,2004,121,836859
9001,2005,147,836395
9001,2006,105,835019
9001,2007,139,836101
9001,2008,142,842175
9003,1999,191,789064
9003,2000,203,792531
9003,2001,199,797253
9003,2002,182,801474
9003,2003,216,806399
9003,2004,176,807367
9003,2005,171,810624
9003,2006,172,813994
9003,2007,184,817521
9003,2008,125,821015
9005,1999,17,168170
9005,2000,20,168929
9005,2001,24,170518
9005,2002,26,172275
9005,2003,35,173504
9005,2004,24,174565
9005,2005,27,174837
9005,2006,29,175476
9005,2007,22,175583
9005,2008,30,175786
9007,1999,18,142781
9007,2000,20,144358
9007,2001,15,146059
9007,2002,15,148055
9007,2003,25,149531
9007,2004,12,149871
9007,2005,23,150443
9007,2006,17,151485
9007,2007,21,152050
9007,2008,23,152872
9009,1999,160,758012
9009,2000,182,761031
9009,2001,181,766164
9009,2002,174,770834
9009,2003,185,777013
9009,2004,196,779717
9009,2005,186,782397
9009,2006,151,785455
9009,2007,160,789307
9009,2008,167,792887
9011,1999,31,241496
9011,2000,49,242791
9011,2001,51,244707
9011,2002,37,247566
9011,2003,48,249142
9011,2004,43,250880
9011,2005,46,251728
9011,2006,43,252647
9011,2007,53,252344
9011,2008,43,254191
9013,1999,12,128573
9013,2000,11,129915
9013,2002,15,135307
9013,2003,13,137919
9013,2005,17,140211
9013,2006,15,141364
9013,2007,16,141945
9013,2008,17,143719
9015,1999,18,101978
9015,2000,25,102279
9015,2001,18,103065
9015,2002,17,104216
9015,2003,17,105762
9015,2004,22,107306
9015,2005,21,108604
9015,2006,19,109740
9015,2007,22,110267
9015,2008,10,110920
10001,1999,29,119342
10001,2000,33,120316
10001,2001,28,122664
10001,2002,34,125062
10001,2003,27,127759
10001,2004,32,132220
10001,2005,32,137068
10001,2006,38,141669
10001,2007,33,145536
10001,2008,49,149187
10003,1999,103,469552
10003,2000,145,473266
10003,2001,125,478379
10003,2002,124,481900
10003,2003,127,486024
10003,2004,125,489766
10003,2005,133,493758
10003,2006,98,497134
10003,2007,112,500263
10003,2008,125,503326
10005,1999,40,141707
10005,2000,42,144707
10005,2001,50,148036
10005,2002,42,151275
10005,2003,35,155256
10005,2004,38,158685
10005,2005,35,162920
10005,2006,45,167417
10005,2007,35,171692
10005,2008,48,175819
11001,1999,386,536621
11001,2000,380,538080
11001,2001,332,540603
11001,2002,346,539320
11001,2003,356,535031
11001,2004,370,534469
11001,2005,345,534076
11001,2006,346,538314
11001,2007,295,542424
11001,2008,281,548595
12001,1999,26,205972
12001,2000,33,207906
12001,2001,40,211553
12001,2002,44,214216
12001,2003,47,216440
12001,2004,51,219127
12001,2005,32,222704
12001,2006,36,228121
12001,2007,28,231089
12001,2008,35,233064
12003,2003,10,22697
12005,1999,23,140256
12005,2000,49,140142
12005,2001,38,141679
12005,2002,45,143797
12005,2003,36,145771
